,	，
,a	α
,a	ㄚ
,a	．
,a	∀
,ae	亼
,ai	ㄞ
,air	✈
,al	♢
,al	♦
,all	∀
,am	㏂
,an	ㄢ
,and	＆
,ang	ㄤ
,ao	ㄠ
,apc	℀
,aps	℁
,au	ㄠ
,au	㍳
,a.m	㏂
,b	８
,b	Ⅷ
,b	β
,b	ㄅ
,b	＆
,b	ⅷ
,b	∞
,bah	฿
,bar	㍴
,bb	☯
,bd	✁
,bd	✂
,bd	✃
,bd	✄
,bi	仝
,bi	阝
,bi	฿
,bie	仝
,bis	♗
,bis	♝
,bn	㆟
,bq	㏃
,br	≧
,br	≦
,bs	☼
,bs	☉
,bs	☀
,bue	㋇
,by	☯
,by	☰
,by	☱
,by	☲
,by	☳
,by	☴
,by	☵
,by	☶
,by	☷
,b.	⒏
,c	７
,c	Ⅶ
,c	ㄘ
,c	ⅶ
,cal	㎈
,cap	∩
,cc	㏄
,cc	ℂ
,cd	㏅
,ce	彑
,ce	₠
,cen	¢
,ch	ㄔ
,che	✓
,che	✔
,chi	ㄔ
,chi	ㄑ
,ci	ㄑ
,ci	㆗
,ci	¢
,ci	ℂ
,cj	㆗
,ckg	㏆
,cl	℄
,clu	♣
,clu	♧
,cm	㎝
,cm	₡
,cmm	㎠
,cmm	㎤
,cmr	㎠
,cms	㎤
,co	㏇
,col	₡
,com	☄
,co.	㏇
,cp	￠
,cp	¢
,cpb	⅞
,cpk	㏆
,cpo	℅
,cpu	℆
,cr	€
,cr	₢
,cro	✙
,cro	✚
,cro	✛
,cro	✜
,cro	✝
,cro	✞
,cro	✟
,cro	✠
,cro	☩
,cru	₢
,cs	˙
,cue	㋆
,cup	∪
,cy	˙
,c.	⒎
,d	ㄉ
,d	δ
,da	㍲
,db	捌
,db	☼
,db	☉
,db	☀
,db	㏈
,dc	柒
,dc	ↁ
,de	壹
,de	弌
,de	㍽
,df	肆
,dg	仟
,dh	㍼
,dia	♢
,dia	♦
,dj	拾
,dk	玖
,dl	陸
,dl	㎗
,do	零
,do	☼
,do	☉
,do	☀
,dol	＄
,dol	﹩
,dol	$
,don	₫
,dp	佰
,dp	₯
,dr	貳
,dr	弍
,dr	貮
,dr	₫
,dra	₯
,ds	參
,ds	☆
,ds	★
,ds	弎
,ds	✩
,ds	✪
,ds	✫
,ds	✬
,ds	✭
,ds	✮
,ds	✯
,ds	✰
,ds	✡
,dse	☆
,dse	★
,dse	✩
,dse	✪
,dse	✫
,dse	✬
,dse	✭
,dse	✮
,dse	✯
,dse	✰
,dse	✡
,dt	☯
,dv	萬
,dw	伍
,dw	㍾
,e	１
,e	Ⅰ
,e	ㄝ
,e	ㄜ
,e	ー
,e	–
,e	ε
,e	Σ
,e	ⅰ
,e	ㄧ
,e	－
,e	㆒
,e	∃
,e	∈
,e	∑
,ear	☷
,eb.	⒙
,ec.	⒘
,ed	㆝
,ede	₫
,edn	㆝
,ee	＿
,ee	彐
,ee	－
,eee	﹉
,eee	﹍
,eee	☰
,eer	☴
,eeu	㋊
,ee.	⒒
,ef	▃
,ef	▄
,ef	▏
,ef	▎
,ef	▍
,ef	▌
,ef	▋
,ef	▊
,ef	▉
,ef.	⒕
,eh	ㄝ
,eh	♥
,eh	♡
,eh	❤
,eh	❥
,eh	❦
,eh	❧
,ei	ㄟ
,ei	ˆ
,ei	∉
,ej	∓
,ek.	⒚
,el	ㄦ
,el	τ
,el.	⒗
