一 e
丁 ti
七 c
三 s
上 fe
下 fa
不 ba
且 me
世 jre
世 sl
丟 kua
中 ci
主 ake
久 nn
乍 vfe
乙 zl
九 k
乞 vzl
也 al
乾 jdjz
乾 jvz
了 wi
了 ddbs
了 dla
了 mdbs
了 mla
事 jce
二 r
五 w
交 lxx
京 los
亭 lont
亭 lt
亮 lonr
亮 lr
人 bn
什 pjj
今 ayy
他 pal
以 u
休 pt
休 ptn
但 pde
位 ple
住 pak
何 pto
你 pns
來 ln
信 pi
信 pio
個 po
個 pojo
們 pmi
們 qm
候 pd
候 pifd
借 prd
假 pox
假 pofu
做 pjx
做 pjop
停 plot
停 pt
像 pnn
像 pncq
像 pq
元 rrl
兄 orl
兆 ra
兆 rbb
光 ser
兌 bor
免 ncr
兒 grl
兔 ncra
入 bp
內 nbn
內 nbp
兩 eb
兩 enbb
八 b
公 bua
六 l
共 rb
共 rba
具 meb
再 eny
再 ey
再 tny
冒 dmo
冬 pba
冰 bw
冰 bwn
几 rl
几 rz
出 eei
刀 dp
刃 daa
刃 dax
別 odr
別 onr
到 pri
前 bi
前 beur
力 dx
功 idx
加 doo
助 mdx
動 gd
動 gqd
勿 nm
勿 nmp
包 nl
包 nol
化 pfl
北 ff
北 ffl
十 j
千 gj
升 xj
午 wj
半 bj
南 n
南 jnbg
卜 pa
占 poo
占 zoo
即 dup
即 gi
原 lpds
原 ya
去 yua
又 ux
友 xux
反 lux
口 oo
古 joo
只 oba
叫 ogi
可 to
可 too
右 xoo
司 eo
司 yeo
吃 ovz
各 poo
合 aoo
吉 yoo
同 neo
向 pno
吧 ocl
吹 oin
呀 oxp
告 soo
呢 ocf
和 hoo
品 ooo
品 ov
員 omb
哥 toto
哥 tt
哪 oeb
哭 ooad
唱 odd
問 moo
喜 ydo
喜 yobo
喜 yobov
喜 yoro
喝 odl
喝 odnl
嗎 omf
四 f
回 oo
回 ooo
回 ooov
回 oov
回 or
因 od
因 odn
固 ojo
國 oaqe
國 ohe
國 oka
園 ok
園 orr
園 oyok
圓 ob
圓 oomb
土 y
土 ye
土 yev
土 yv
在 xiy
在 xy
地 yal
坐 bby
坡 ypx
士 ye
壯 gye
夏 tmp
夕 ca
外 cpa
多 cc
多 cca
大 dn
天 edn
天 gnn
太 daa
央 cn
女 gx
奶 grp
她 gal
好 gz
好 gzj
姊 gjp
姐 gme
娘 gadk
娘 gan
娘 gln
娘 glok
婆 wpg
媽 gm
媽 gmf
子 zj
字 nzj
孝 ypz
學 snz
它 nfl
它 sal
安 ng
安 ngx
完 nrr
定 nez
定 nz
室 npe
害 nfo
害 nho
家 eq
家 neq
家 pneq
實 nbd
實 nfn
實 nfnv
實 noa
實 nomb
實 noxb
寫 nf
寫 ngnf
寫 nke
寸 aa
寸 oaa
寺 yaa
封 yya
對 a
對 faa
對 feba
對 uaa
對 uaav
對 waa
小 sa
少 sp
尤 akl
就 gl
就 lhsk
就 lk
就 losk
就 lsak
尺 cnn
尺 ocn
尼 cfl
尾 cml
屋 cpe
山 ei
工 ie
左 xie
己 fg
己 fll
己 fllv
己 gg
已 fll
巴 cl
巴 cll
巴 cllv
巾 ni
巾 niv
巾 nj
布 pxn
布 xni
布 xnj
師 pben
師 pbtn
師 ren
師 rtn
師 yen
師 yni
師 ytn
帶 fnn
帶 snn
帶 snnv
常 sn
常 snon
帽 ndm
幫 fbn
幫 hi
幫 yyan
幫 yyap
干 g
干 gj
干 gjv
干 gv
干 jbg
干 jbt
干 jdjg
干 jdjt
平 pj
年 vsj
幸 pybg
幸 pyj
幸 ybg
幸 yj
幼 wdx
幼 wdy
幾 gb
幾 wba
幾 wwab
弓 qk
弟 bqip
弟 bqp
弟 tp
彩 em
彩 etm
彩 mmp
彩 set
彩 smn
往 miak
往 mk
很 hn
很 midk
後 foo
後 i
後 miwp
得 dd
得 mida
從 bbn
從 mibz
從 mz
心 ha
忍 dah
忍 dav
忍 dh
快 hjn
念 ayh
念 oayh
怎 vfh
怎 vh
怕 hpd
急 neh
怪 hui
怪 huy
怪 hy
息 pha
息 pmh
您 ph
您 phv
您 pnsh
想 th
想 tmh
意 ldh
愛 enhp
愛 enxu
愛 hx
戊 aqp
成 aqn
成 aqpy
成 ay
我 ix
或 aqoe
或 he
戶 fp
房 ffy
手 hj
才 jpp
才 snoa
才 up
扒 jba
扒 jbav
扒 jbn
扒 jbnv
打 jti
找 jaq
抄 jsp
把 jcl
抓 jei
抓 jen
抱 jnl
抱 jnol
拉 jle
拍 jpd
掃 jee
掃 jej
掃 jenn
支 jux
收 gpx
放 fpx
故 jop
故 jx
教 gp
教 xxzp
教 ypzp
文 wx
斗 dda
斗 dj
斗 mda
斤 ki
斥 kaa
斥 kaav
斥 kav
斥 kax
新 li
新 ltk
方 fy
旁 gy
旁 lnf
旁 mig
旁 milf
日 do
旦 de
旦 dee
旦 deev
旦 dev
早 djj
昌 ddo
明 due
昔 rdo
星 dse
春 fnd
是 dez
是 jn
時 daa
時 dya
時 h
晚 ddcr
晚 del
晚 dncr
晚 dr
更 tqx
更 tx
書 asj
書 edo
會 ad
會 ada
會 adav
會 aqd
會 bta
月 ue
有 x
有 xue
朋 uue
服 upu
服 uu
木 tn
未 qbn
未 ysn
朱 losb
朱 loss
朱 sbn
朱 ssn
朵 rtn
村 ebi
村 ebiv
村 taa
杯 bfe
杯 tba
東 csa
東 csn
東 jqs
松 tbu
松 vtbu
林 ttn
果 qtn
果 rqt
枝 tju
校 tlx
根 tdk
條 pipt
條 pn
條 ptn
條 ptnv
棵 tqt
植 tje
植 tjl
植 tjme
植 tjml
樹 tua
樹 tyda
樹 tyoa
欠 in
次 bin
次 rin
次 rinv
歌 ti
歌 tiv
歌 toti
歌 tti
歡 rin
歡 rooi
歡 uin
歡 vin
止 ze
正 ez
正 eze
步 zsp
母 oma
每 vm
每 vom
比 bl
毛 ml
民 ox
民 oxx
氣 km
氣 kmn
氣 kxx
水 wn
汁 wjj
汗 wgj
沒 wnu
沒 wru
河 wto
泉 pdw
泉 pdwv
泉 pv
法 wu
法 wyu
波 wpx
洋 wbh
活 wgo
流 wl
流 wts
浪 wadk
浪 wan
海 wm
海 wvom
消 wsu
清 whu
游 fvzw
游 fwn
游 wfj
游 wfvz
游 wz
澡 wlt
澡 woot
火 fn
燈 fjd
燈 fti
爪 ei
爪 eiv
爪 en
爪 env
爬 ecl
父 bxx
爸 bc
爸 bxc
爸 bxcl
片 pi
片 piv
片 py
牙 xp
牙 yp
牛 sj
牠 sal
物 snm
犬 adn
玉 kaa
王 ke
玩 krr
珠 ksb
珠 kss
現 kmr
瓜 ga
瓜 gn
瓜 gnv
生 se
用 nqj
田 qo
由 iqo
甲 qi
甲 qii
甲 qiiv
申 ii
申 iqi
男 qdx
男 qdy
畫 eqe
畫 equ
畫 equv
畫 tqu
登 be
登 jde
發 axu
發 fx
發 jkj
發 jkl
發 jqru
白 pdo
百 tdo
的 d
的 pdna
皮 px
目 mo
直 je
直 jl
直 jme
直 jml
相 tm
相 tmo
看 hm
看 hmo
真 fmlb
真 jba
真 jmeb
真 jmlb
眼 mdk
知 vdo
石 loo
示 rsa
祖 rsm
神 rsi
神 rsii
福 rq
福 rseq
禾 hn
禾 hnv
秋 hfn
秋 rchf
科 hdj
種 hci
種 hciv
種 hcj
種 hcjv
種 hgq
穴 nba
穴 nbn
穴 nbnv
空 nbi
空 nri
穿 nbx
穿 nby
穿 nrx
穿 nry
立 le
童 lqe
竹 zi
笑 zed
笑 zgn
笑 zpd
笑 zpdv
第 zp
第 zqip
第 zqp
第 ztp
筆 zej
筆 zml
節 rpi
節 zadp
節 zap
節 zdup
節 zgi
節 zpi
米 mn
紅 sie
細 sqo
結 syo
給 sao
經 sesi
經 ssi
經 sui
經 suy
綠 scew
綠 sew
綠 xs
羊 bhj
美 bkd
羽 eee
羽 eep
習 ed
習 ee
習 eepd
老 ypf
者 ho
者 hov
者 yd
者 ydo
者 ypad
者 ypd
而 ri
而 tnr
耍 rgx
耍 tnrg
耳 rj
聲 yc
聲 ycp
聲 ycrr
聲 yrj
聽 oki
聽 okiv
聽 rh
聽 rjfh
聽 rkj
聽 rkjh
肉 nbb
